MSOA11CD,c_trips201906,c_trips202006,c_trips202106
E02000001,1582.4,1556.111111111111,1770.5
E02000180,27.625,62.44444444444444,38.25
E02000183,118.9,215.77777777777777,179.375
E02000184,159.9,276.8888888888889,136.375
E02000186,288.6,472.1111111111111,414.875
E02000187,204.4,232.22222222222223,275.375
E02000188,67.5,62.888888888888886,63.25
E02000189,284.0,213.55555555555554,273.375
E02000190,132.1,145.11111111111111,200.375
E02000191,340.4,319.1111111111111,433.125
E02000192,210.4,200.33333333333334,192.125
E02000193,444.1,417.3333333333333,594.125
E02000362,56.1,118.66666666666667,67.625
E02000364,34.7,76.66666666666667,37.5
E02000365,46.5,121.44444444444444,93.125
E02000367,312.4,471.44444444444446,405.625
E02000368,93.9,177.88888888888889,125.125
E02000369,161.7,249.55555555555554,172.5
E02000370,191.6,290.8888888888889,244.75
E02000371,501.2,512.0,562.375
E02000372,22.1,59.0,38.25
E02000375,99.3,122.33333333333333,128.0
E02000378,99.9,181.22222222222223,158.625
E02000381,59.9,116.88888888888889,91.75
E02000382,32.1,149.55555555555554,75.25
E02000383,109.4,171.22222222222223,121.125
E02000384,163.0,259.22222222222223,166.125
E02000385,111.6,143.88888888888889,135.125
E02000386,84.1,106.44444444444444,108.75
E02000387,137.8,165.55555555555554,178.125
E02000388,85.2,104.55555555555556,122.75
E02000389,84.6,130.66666666666666,102.375
E02000390,76.4,105.44444444444444,90.875
E02000391,224.4,317.0,302.0
E02000392,120.4,139.44444444444446,133.625
E02000393,38.8,55.55555555555556,42.875
E02000394,144.8,202.66666666666666,200.125
E02000395,142.5,201.22222222222223,189.0
E02000396,182.3,247.0,223.625
E02000572,84.7,174.77777777777777,109.375
E02000573,230.0,400.3333333333333,316.5
E02000574,159.0,224.0,186.75
E02000575,282.9,342.8888888888889,342.75
E02000576,350.9,365.77777777777777,429.5
E02000577,46.1,92.11111111111111,66.125
E02000579,47.0,80.77777777777777,66.5
E02000580,171.2,223.88888888888889,222.125
E02000581,81.6,105.11111111111111,109.0
E02000582,137.1,146.11111111111111,171.0
E02000583,128.7,191.77777777777777,162.25
E02000584,616.6,503.1111111111111,656.25
E02000585,146.3,216.22222222222223,203.625
E02000586,310.2,511.6666666666667,409.875
E02000587,116.4,190.88888888888889,173.125
E02000588,346.4,427.1111111111111,493.875
E02000589,92.7,131.77777777777777,151.875
E02000590,411.3,378.1111111111111,502.125
E02000591,133.2,180.55555555555554,192.75
E02000592,299.2,328.77777777777777,402.75
E02000593,108.8,119.88888888888889,137.875
E02000594,300.6,408.22222222222223,434.75
E02000595,173.6,270.3333333333333,272.125
E02000596,179.8,283.1111111111111,276.125
E02000597,94.1,160.66666666666666,158.125
E02000619,160.1,258.77777777777777,249.0
E02000620,417.1,643.4444444444445,545.875
E02000621,120.2,257.44444444444446,278.375
E02000622,28.7,84.0,70.625
E02000623,76.5,187.0,151.875
E02000624,61.3,146.0,121.375
E02000625,172.9,375.44444444444446,223.25
E02000628,82.9,281.0,152.875
E02000629,34.6,88.11111111111111,138.125
E02000630,19.6,40.333333333333336,199.625
E02000633,40.5,194.22222222222223,88.5
E02000726,446.1,1005.1111111111111,773.75
E02000808,636.3,839.4444444444445,932.5
E02000809,366.7,828.3333333333334,703.875
E02000812,225.2,417.77777777777777,393.125
E02000813,50.8,103.33333333333333,119.5
E02000815,129.0,199.44444444444446,202.75
E02000818,79.7,239.88888888888889,175.5
E02000820,125.1,224.11111111111111,238.5
E02000864,192.0,368.0,244.375
E02000865,59.9,238.44444444444446,164.125
E02000866,158.4,276.0,179.125
E02000867,113.3,231.88888888888889,154.75
E02000868,152.0,166.11111111111111,149.75
E02000869,184.7,255.22222222222223,267.875
E02000870,62.8,97.11111111111111,82.25
E02000871,43.9,105.77777777777777,63.0
E02000872,232.2,232.77777777777777,323.375
E02000873,98.2,150.66666666666666,125.0
E02000874,117.6,169.22222222222223,156.125
E02000875,62.5,124.66666666666667,88.25
E02000876,144.0,170.33333333333334,203.25
E02000877,204.0,310.8888888888889,288.625
E02000878,312.9,363.44444444444446,455.125
E02000879,34.0,32.44444444444444,35.0
E02000880,205.5,330.1111111111111,286.5
E02000881,16.2,46.77777777777778,30.0
E02000882,107.7,209.66666666666666,165.5
E02000883,27.6,72.88888888888889,46.875
E02000884,247.8,319.8888888888889,343.0
E02000885,60.0,91.44444444444444,75.125
E02000886,32.0,61.111111111111114,48.375
E02000887,70.8,147.33333333333334,121.125
E02000888,128.4,238.44444444444446,188.375
E02000889,95.2,145.22222222222223,170.125
E02000890,350.4,547.6666666666666,528.625
E02000891,90.4,284.6666666666667,151.25
E02000893,97.9,335.55555555555554,150.625
E02000894,36.7,74.22222222222223,51.375
E02000923,347.4,683.6666666666666,554.25
E02000924,418.9,814.5555555555555,620.75
E02000925,115.2,215.33333333333334,182.25
E02000926,104.8,166.66666666666666,149.125
E02000927,49.6,108.55555555555556,87.875
E02000928,73.5,159.44444444444446,93.875
E02000929,120.6,165.44444444444446,173.375
E02000930,127.9,228.33333333333334,184.875
E02000931,72.2,312.6666666666667,128.5
E02000932,239.4,428.44444444444446,286.875
E02000933,24.0,54.888888888888886,18.75
E02000934,141.0,281.55555555555554,203.0
E02000936,19.1,50.77777777777778,25.75
E02000940,24.8,98.77777777777777,48.125
E02000941,12.1,68.55555555555556,24.25
E02000960,79.0,197.66666666666666,106.0
E02000962,128.3,276.3333333333333,170.875
E02000966,123.1,319.3333333333333,197.625
E02000967,343.0,656.2222222222222,482.625
E02000968,111.4,233.77777777777777,211.75
E02000970,527.9,754.8888888888889,720.75
E02000971,252.8,362.6666666666667,383.125
E02000972,920.9,1079.6666666666667,1482.25
E02000973,94.4,124.22222222222223,135.25
E02000974,213.5,368.44444444444446,403.875
E02000975,106.7,156.33333333333334,186.75
E02000976,178.7,441.8888888888889,343.625
E02000977,1800.7,2344.3333333333335,2717.25
E02000978,1846.5,1840.5555555555557,2616.5
E02000979,670.5,1036.111111111111,1063.625
E02000980,230.7,292.0,316.875
E02000981,169.1,262.6666666666667,238.0
E02000982,227.7,278.8888888888889,297.5
E02000983,150.6,269.1111111111111,237.75
E02006801,1456.9,1335.888888888889,1841.25
E02006802,296.1,404.44444444444446,469.75
E02006853,43.1,169.11111111111111,80.5
E02006854,234.6,515.7777777777778,422.625
