msoa11,total,office,retail,leisure,industrial,other,ret_restaurants,ret_hs,ret_superstores
E02000001,21825,16854,3856,148,28,939,561,3220,6
E02000180,164,31,74,5,28,26,12,58,2
E02000183,459,240,156,3,25,35,38,117,1
E02000184,510,229,141,2,76,62,32,102,4
E02000186,1193,618,422,22,24,107,102,301,6
E02000187,840,468,270,9,26,67,55,207,5
E02000188,412,215,124,1,18,54,39,81,1
E02000189,543,284,111,34,68,46,36,67,1
E02000190,657,403,170,32,6,46,35,128,2
E02000191,1905,1225,477,42,9,152,133,313,19
E02000192,2889,2136,449,12,190,102,75,359,10
E02000193,4633,3291,1034,44,19,245,232,774,5
E02000362,402,158,63,6,139,36,15,48,0
E02000364,325,71,202,3,19,30,12,186,2
E02000365,926,302,389,9,180,46,47,326,5
E02000366,135,10,99,1,6,19,18,80,0
E02000367,1005,459,259,7,227,53,36,210,9
E02000368,177,70,59,3,21,24,7,47,3
E02000369,550,243,161,4,106,36,21,135,0
E02000370,365,236,55,6,41,27,10,43,1
E02000371,3785,2787,628,24,182,164,178,427,17
E02000372,649,342,85,4,156,62,13,70,0
E02000375,768,69,538,12,74,75,50,470,18
E02000378,250,104,110,8,7,21,16,87,4
E02000381,366,210,107,10,5,34,24,82,1
E02000382,297,83,127,5,47,35,39,85,2
E02000383,490,307,133,7,7,36,29,101,1
E02000384,1537,1091,297,8,50,91,67,218,5
E02000385,94,17,58,3,1,15,9,49,0
E02000386,164,27,103,3,7,24,22,78,3
E02000387,107,39,37,3,1,27,3,34,0
E02000388,322,44,221,7,18,32,30,182,4
E02000389,200,74,106,1,4,15,23,82,0
E02000390,237,69,130,1,14,23,9,120,0
E02000391,374,102,186,6,43,37,29,153,4
E02000392,589,226,273,3,50,37,43,225,2
E02000393,74,5,62,0,0,7,0,62,0
E02000394,391,212,158,1,8,12,9,132,17
E02000395,534,301,156,3,47,27,24,127,5
E02000396,338,147,101,5,50,35,11,87,3
E02000572,202,53,91,2,8,48,13,73,2
E02000573,1270,592,552,15,42,69,103,322,116
E02000574,703,325,303,9,11,55,64,235,3
E02000575,3203,2402,534,16,79,172,149,350,28
E02000576,2189,1672,324,15,23,155,74,233,10
E02000577,859,420,181,6,207,45,27,151,2
E02000579,205,68,35,4,77,21,4,31,0
E02000580,703,100,532,4,28,39,46,479,3
E02000581,235,152,35,2,17,29,8,23,1
E02000582,404,67,276,12,4,45,37,235,0
E02000583,273,45,184,3,8,33,24,155,4
E02000584,782,380,320,10,15,57,50,262,3
E02000585,153,53,36,16,7,41,7,28,1
E02000586,403,133,169,22,6,73,42,116,7
E02000587,466,220,181,6,6,53,30,142,3
E02000588,915,362,438,14,8,93,59,368,4
E02000589,281,54,133,38,13,43,31,92,4
E02000590,589,219,296,9,7,58,44,245,5
E02000591,157,35,60,33,2,27,16,41,2
E02000592,446,164,201,14,2,65,44,146,5
E02000593,167,24,91,17,2,33,23,67,0
E02000594,377,115,198,8,3,53,23,170,3
E02000595,384,105,228,3,2,46,39,181,5
E02000596,264,84,143,1,4,32,36,106,1
E02000597,444,237,120,5,51,31,16,99,4
E02000619,393,238,77,3,22,53,9,66,0
E02000620,668,388,163,9,37,71,26,132,3
E02000621,601,294,187,8,54,58,22,162,1
E02000622,381,206,119,5,19,32,11,106,1
E02000623,76,13,34,3,12,14,13,19,0
E02000624,120,34,59,3,8,16,5,51,0
E02000625,237,52,117,2,34,32,9,103,2
E02000628,767,91,547,4,71,54,37,502,4
E02000629,298,92,135,5,46,20,22,109,1
E02000630,314,126,113,3,35,37,17,91,2
E02000633,370,175,141,5,13,36,17,112,7
E02000726,883,214,438,16,134,81,45,376,14
E02000808,3226,2389,537,24,145,131,164,362,3
E02000809,1479,954,317,16,113,79,85,218,8
E02000810,732,197,141,6,335,53,12,124,0
E02000812,798,427,238,3,57,73,46,186,1
E02000813,322,96,166,5,12,43,19,141,4
E02000815,358,123,157,9,23,46,19,132,1
E02000818,275,58,167,3,14,33,15,146,2
E02000820,282,68,85,3,99,27,12,73,0
E02000864,547,129,133,4,252,29,14,113,2
E02000865,488,215,124,5,107,37,17,95,10
E02000866,238,8,182,3,7,38,25,155,0
E02000867,563,263,52,2,210,36,8,41,0
E02000868,438,189,99,2,112,36,18,75,2
E02000869,338,67,164,2,85,20,17,143,2
E02000870,196,41,116,3,12,24,14,101,0
E02000871,190,48,46,3,57,36,5,40,0
E02000872,529,115,311,10,55,38,34,269,6
E02000873,176,37,96,1,7,35,11,80,0
E02000874,327,162,73,4,53,35,11,59,2
E02000875,198,27,62,6,82,21,3,56,1
E02000876,554,161,264,8,77,44,27,224,7
E02000877,288,53,117,2,58,58,14,100,0
E02000878,2464,1487,750,11,101,115,139,588,13
E02000879,190,40,77,0,42,31,15,58,3
E02000880,348,138,119,3,50,38,10,93,12
E02000881,243,72,48,1,85,37,4,44,0
E02000882,132,11,76,3,15,27,11,63,2
E02000883,243,48,156,3,0,36,18,133,1
E02000884,1812,1106,463,18,128,97,61,343,56
E02000885,276,46,168,2,28,32,8,153,6
E02000886,219,55,80,4,46,34,12,67,0
E02000887,171,41,49,6,18,57,8,36,3
E02000888,527,93,97,12,282,43,12,83,0
E02000889,397,198,74,38,32,55,15,55,3
E02000890,577,372,111,8,11,75,36,74,1
E02000891,1386,793,121,16,55,401,33,85,2
E02000893,73,10,35,0,2,26,6,28,0
