MSOA11CD,tourism_density
E02000001,27
E02000183,5
E02000186,2
E02000187,7
E02000189,3
E02000190,1
E02000191,9
E02000192,8
E02000193,11
E02000362,1
E02000365,1
E02000367,2
E02000368,1
E02000369,1
E02000370,1
E02000371,5
E02000372,1
E02000394,2
E02000395,2
E02000574,4
E02000575,10
E02000576,3
E02000577,1
E02000580,9
E02000581,2
E02000582,4
E02000583,3
E02000584,9
E02000585,2
E02000586,5
E02000587,2
E02000588,5
E02000589,1
E02000590,2
E02000592,7
E02000593,1
E02000594,9
E02000595,5
E02000596,5
E02000597,3
E02000619,2
E02000624,1
E02000629,1
E02000633,2
E02000726,7
E02000808,11
E02000809,9
E02000812,5
E02000813,3
E02000815,1
E02000818,2
E02000865,1
E02000866,3
E02000869,1
E02000870,3
E02000872,3
E02000876,1
E02000877,1
E02000878,8
E02000883,1
E02000884,2
E02000889,1
E02000890,8
E02000891,7
E02000923,4
E02000924,1
E02000930,1
E02000932,1
E02000940,1
E02000960,33
E02000962,4
E02000966,4
E02000967,10
E02000968,6
E02000969,1
E02000970,14
E02000971,1
E02000972,31
E02000973,5
E02000974,4
E02000976,1
E02000977,56
E02000978,11
E02000979,22
E02000980,2
E02000982,1
E02000983,1
E02006801,18
E02006802,3
E02006854,1
